REGIÃO ;PAÍS;CONSUMO DE PETRÓLEO em mil barris por dia;ANO
Ásia-Pacífico;China;10242,26314;2012
Ásia-Pacífico;Cingapura;1202,191609;2012
Ásia-Pacífico;Coreia do Sul;2466,045043;2012
Ásia-Pacífico;Hong Kong;344,298318;2012
Ásia-Pacífico;Filipinas;308,983607;2012
Ásia-Pacífico;Índia;3747,407508;2012
Ásia-Pacífico;Indonésia;1646,108985;2012
Ásia-Pacífico;Japão;4701,648632;2012
Ásia-Pacífico;Malásia;757,350634;2012
Ásia-Pacífico;Nova Zelândia;148,436365;2012
Ásia-Pacífico;Paquistão;402,288124;2012
Ásia-Pacífico;Sri Lanka;95,387685;2012
Ásia-Pacífico;Tailândia;1250,04089;2012
Ásia-Pacífico;Taiwan;949,606087;2012
Ásia-Pacífico;Vietnã;368,013553;2012
Ásia-Pacífico;Outros;329,302361;2012
América do Norte;Canadá;2397,618265;2013
América do Norte;Estados Unidos;18961,12603;2013
América do Norte;México;2034,163494;2013
Américas Central e do Sul;Argentina;682,954995;2013
Américas Central e do Sul;Brasil;3099,794985;2013
Américas Central e do Sul;Chile;362,476155;2013
Américas Central e do Sul;Colômbia;297,425096;2013
Américas Central e do Sul;Equador;247,418986;2013
Américas Central e do Sul;Peru;228,20589;2013
Américas Central e do Sul;Trinidad e Tobago;44,839203;2013
Américas Central e do Sul;Venezuela;782,455302;2013
Américas Central e do Sul;Outros;1218,652014;2013
Europa e Eurásia;Alemanha;2404,333288;2013
Europa e Eurásia;Áustria;262,262782;2013
Europa e Eurásia;Azerbaijão;100,753364;2013
Europa e Eurásia;Bélgica;665,094869;2013
Europa e Eurásia;Bielorrússia;143,774466;2013
Europa e Eurásia;Bulgária;81,360004;2013
Europa e Eurásia;Cazaquistão;260,446825;2013
Europa e Eurásia;Chipre;46,007452;2013
Europa e Eurásia;Croácia;63,75263;2013
Europa e Eurásia;Dinamarca;158,013795;2013
Europa e Eurásia;Eslováquia;74,809342;2013
Europa e Eurásia;Eslovênia;51,383471;2013
Europa e Eurásia;Espanha;1202,641719;2013
Europa e Eurásia;Estônia;30,969955;2013
Europa e Eurásia;Finlândia ;220,494315;2013
Europa e Eurásia;França;1661,440933;2013
Europa e Eurásia;Grécia ;303,287669;2013
Europa e Eurásia;Holanda;897,856787;2013
Europa e Eurásia;Hungria;141,945292;2013
Europa e Eurásia;Islândia;14,858438;2013
Europa e Eurásia;Irlanda;140,653615;2013
Europa e Eurásia;Itália;1274,072555;2013
Europa e Eurásia;Letônia;33,927513;2013
Europa e Eurásia;Lituânia;53,175148;2013
Europa e Eurásia;Luxemburgo;58,280398;2013
Europa e Eurásia;Macedônia;18,605872;2013
Europa e Eurásia;Noruega;229,557145;2013
Europa e Eurásia;Polônia;538,09187;2013
Europa e Eurásia;Portugal;241,385429;2013
Europa e Eurásia;Reino Unido;1532,146314;2013
Europa e Eurásia;República Tcheca;190,303084;2013
Europa e Eurásia;Romênia;173,855699;2013
Europa e Eurásia;Rússia;3133,730818;2013
Europa e Eurásia;Suécia;305,684012;2013
Europa e Eurásia;Suíça;249,110404;2013
Europa e Eurásia;Turcomenistão;137,370137;2013
Europa e Eurásia;Turquia;756,966027;2013
Europa e Eurásia;Ucrânia;257,180099;2013
Europa e Eurásia;Uzbequistão;60,100192;2013
Europa e Eurásia;Outros;375,918941;2013
Oriente Médio;Arábia Saudita;3451,480439;2013
Oriente Médio;Catar;287,320074;2013
Oriente Médio;Coveite;508,173417;2013
Oriente Médio;Emirados Árabes Unidos;852,149978;2013
Oriente Médio;Irã;2063,857343;2013
Oriente Médio;Iraque;716,04074;2013
Oriente Médio;Israel;222,616582;2013
Oriente Médio;Omã;178,246575;2013
Oriente Médio;Outros;629,652043;2013
África;África do Sul;560,525317;2013
África;África Central;245,69188;2013
África;África Ocidental;589,131502;2013
África;África Oriental;483,529141;2013
África;Argélia;387,405781;2013
África;Egito;755,861643;2013
África;Marrocos;281,793258;2013
África;Outros Norte da África;347,220952;2013
África;Outros Sul da África;53,48534;2013
Ásia-Pacífico;Austrália;1034,105835;2013
Ásia-Pacífico;Bangladesh;107,658323;2013
Ásia-Pacífico;China;10749,54969;2013
Ásia-Pacífico;Cingapura;1225,099256;2013
Ásia-Pacífico;Coreia do Sul;2463,501938;2013
Ásia-Pacífico;Hong Kong;351,868819;2013
Ásia-Pacífico;Filipinas;326,443836;2013
Ásia-Pacífico;Índia;3789,42715;2013
Ásia-Pacífico;Indonésia;1676,638285;2013
Ásia-Pacífico;Japão;4516,018023;2013
Ásia-Pacífico;Malásia;802,096764;2013
Ásia-Pacífico;Nova Zelândia;150,888647;2013
Ásia-Pacífico;Paquistão;441,903593;2013
Ásia-Pacífico;Sri Lanka;82,033744;2013
Ásia-Pacífico;Tailândia;1298,605406;2013
Ásia-Pacífico;Taiwan;981,139126;2013
Ásia-Pacífico;Vietnã;397,680546;2013
Ásia-Pacífico;Outros;364,053718;2013
América do Norte;Canadá;2442,130239;2014
América do Norte;Estados Unidos;19105,6137;2014
América do Norte;México;1959,694886;2014
Américas Central e do Sul;Argentina;673,055229;2014
Américas Central e do Sul;Brasil;3210,230107;2014
Américas Central e do Sul;Chile;353,086368;2014
Américas Central e do Sul;Colômbia;316,114027;2014
Américas Central e do Sul;Equador;260,37183;2014
Américas Central e do Sul;Peru;224,928356;2014
Américas Central e do Sul;Trinidad e Tobago;41,472208;2014
Américas Central e do Sul;Venezuela;720,01313;2014
Américas Central e do Sul;Outros;1234,236968;2014
Europa e Eurásia;Alemanha;2343,90389;2014
Europa e Eurásia;Áustria;255,153178;2014
Europa e Eurásia;Azerbaijão;99,296959;2014
Europa e Eurásia;Bélgica;665,277553;2014
Europa e Eurásia;Bielorrússia;164,061507;2014
Europa e Eurásia;Bulgária;86,850907;2014
Europa e Eurásia;Cazaquistão;261,890357;2014
Europa e Eurásia;Chipre;45,686466;2014
Europa e Eurásia;Croácia;66,0528;2014
Europa e Eurásia;Dinamarca;158,97865;2014
Europa e Eurásia;Eslováquia;70,728247;2014
Europa e Eurásia;Eslovênia;50,358992;2014
